,index,from_npi,to_npi,patient_count,transaction_count,average_day_wait,std_day_wait,from_zip,from_npi_specialty,from_entity_type_code,to_zip,to_npi_specialty,to_entity_type_code,to_facility,to_facility_group,to_facility_name_normalised
0,615039,1013179860,1417938846,71,82,35.049,42.548,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
1,3024235,1336126887,1417938846,55,78,47.615,67.26,37075,Urology,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
2,3024236,1336230424,1417938846,38,61,32.148,44.493,37207,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
3,3024237,1346288966,1417938846,146,232,25.496,47.446,37075,Specialist,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
4,3024244,1326086653,1417938846,43,71,48.423,61.377,37205,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
5,4931236,1508935776,1417938846,330,676,12.633,29.315,37083,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
6,4931237,1508916586,1417938846,96,180,31.7,53.25,37083,Family Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
7,6269382,1366817611,1417938846,146,206,23.437,47.594,37186,Physician Assistant,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
8,7627700,1053366369,1417938846,379,425,21.584,51.401,37066,Radiology,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
9,9058193,1104837327,1417938846,52,107,18.879,19.686,37087,Physical Medicine & Rehabilitation,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
10,9058195,1104933738,1417938846,506,1145,9.506,31.353,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
11,9058196,1104890003,1417938846,67,96,45.917,59.034,37066,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
12,9058197,1114074085,1417938846,340,380,21.434,45.963,37066,Radiology,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
13,10158217,1750584710,1417938846,126,190,19.247,39.571,37207,Surgery,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
14,10158218,1740326495,1417938846,294,786,7.099,24.947,37186,Physician Assistant,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
15,10158220,1730114315,1417938846,47,58,43.741,56.677,37087,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
16,11431014,1437107265,1417938846,33,51,31.216,50.6,37083,Chiropractor,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
17,11431018,1407090236,1417938846,63,78,48.718,60.621,37207,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
18,11431019,1447366075,1417938846,108,129,18.69,42.945,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
19,11431020,1447307251,1417938846,46,83,26.976,40.677,37066,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
20,12840986,1447625892,1417938846,157,244,23.275,48.966,37186,Physician Assistant,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
21,12840988,1487021663,1417938846,91,151,19.808,41.386,37083,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
22,12840989,1467483164,1417938846,93,285,10.361,21.539,37150,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
23,13911661,1902823099,1417938846,100,200,17.92,36.534,37066,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
24,13911662,1891780896,1417938846,29,81,12.778,10.29,37087,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
25,13911663,1891861506,1417938846,70,132,29.955,50.145,37074,General Practice,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
26,13911664,1902015019,1417938846,34,54,34.148,55.46,37066,Podiatrist,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
27,13911665,1932279429,1417938846,71,123,33.203,41.463,37066,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
28,16236782,1861541351,1417938846,601,1134,7.791,28.822,37083,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
29,16236786,1871696096,1417938846,23,60,22.233,40.914,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
30,17936670,1144259631,1417938846,36,70,31.857,49.522,37066,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
31,17936673,1154576825,1417938846,49,134,10.254,20.519,37083,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
32,20378315,1649271206,1417938846,133,286,22.294,44.972,37090,Orthopaedic Surgery,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
33,20378316,1649471780,1417938846,393,453,21.675,49.644,37066,Radiology,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
34,20902926,1780667006,1417938846,221,345,31.797,47.518,37083,Family Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
35,20902927,1790891315,1417938846,274,467,17.223,41.162,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
36,22320267,1811393788,1417938846,50,92,41.707,55.743,37172,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
37,22320268,1811307036,1417938846,110,134,35.052,76.47,37232,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
38,23679042,1700810371,1417938846,88,146,37.719,57.955,37066,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
39,23679046,1679644769,1417938846,90,259,9.069,30.011,37186,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
40,23679047,1679689285,1417938846,148,190,36.826,57.645,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
41,24502675,1235121179,1417938846,41,59,49.847,61.124,37075,Thoracic Surgery (Cardiothoracic Vascular Surgery),1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
42,25893612,1275536468,1417938846,186,224,34.196,51.245,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
43,25893613,1285843896,1417938846,24,55,21.255,39.642,37090,Orthopaedic Surgery,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
44,25893615,1275888992,1417938846,182,355,17.966,43.91,37083,Family Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
45,25893616,1285615278,1417938846,65,99,24.687,36.26,37115,Family Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
46,26581604,1942642152,1417938846,55,64,43.672,54.77,37066,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
47,27621541,1992956114,1417938846,35,61,26.082,39.795,37186,Physician Assistant,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
48,28772912,1538590070,1417938846,91,109,11.706,24.575,37186,Physician Assistant,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
49,28772915,1558355941,1417938846,99,262,14.034,31.627,37066,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
50,28772917,1558797415,1417938846,62,98,37.378,48.908,37066,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
51,30515978,1205826526,1417938846,576,1202,9.903,28.367,37083,Family Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
52,30515979,1194875179,1417938846,179,380,19.226,38.666,37083,Nurse Practitioner,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
53,30515980,1215211677,1417938846,40,60,40.2,50.358,37066,Physician Assistant,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
54,30515981,1225027014,1417938846,172,199,49.829,58.804,37075,Internal Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
55,30515982,1184887655,1417938846,53,74,39.649,51.735,37066,Psychiatry & Neurology,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
56,30515983,1184619124,1417938846,44,67,34.507,41.94,37030,Family Medicine,1.0,37083,General Acute Care Hospital,2.0,"MACON COUNTY GENERAL HOSPITAL, INC.",Macon County General Hospital,Macon County General Hospital
57,1275561,1023004041,1861479545,87,87,39.667,61.662,37205,Anesthesiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
58,1275562,1033215157,1861479545,138,139,4.122,20.588,38401,Specialist,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
59,1275563,1033225073,1861479545,53,99,33.535,34.124,38401,Psychiatry & Neurology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
60,1275567,1023337979,1861479545,139,145,4.69,26.094,37203,"Nurse Anesthetist, Certified Registered",1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
61,1275568,1043206329,1861479545,2204,2496,15.699,45.468,37232,Radiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
62,1275573,1033297429,1861479545,470,862,22.832,44.428,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
63,1275575,1003077728,1861479545,35,53,39.377,58.685,37205,Thoracic Surgery (Cardiothoracic Vascular Surgery),1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
64,1275576,1003101684,1861479545,34,52,2.442,7.787,38401,Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
65,1275579,1003922881,1861479545,128,296,17.939,42.1,38401,Orthopaedic Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
66,2243034,1285627398,1861479545,51,68,47.926,45.942,37205,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
67,2243037,1285781161,1861479545,166,261,37.49,45.346,37232,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
68,2243039,1295736940,1861479545,649,1090,30.371,54.631,38401,Specialist,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
69,2243042,1285950006,1861479545,604,628,2.045,10.511,38401,Anesthesiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
70,2243045,1306111497,1861479545,107,169,25.598,43.196,38401,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
71,2243048,1295952505,1861479545,68,126,21.865,42.882,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
72,2243051,1316054133,1861479545,681,1182,24.794,42.564,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
73,2243052,1316050586,1861479545,158,228,30.329,49.569,38401,Physician Assistant,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
74,2243056,1265809305,1861479545,439,605,32.461,51.513,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
75,2243057,1265753339,1861479545,397,458,18.301,52.612,38401,Psychiatry & Neurology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
76,3665191,1316934813,1861479545,47,80,33.963,60.819,37067,Orthopaedic Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
